Account,Name,Date,Downloads,Units,Amount
A and T unlimit Limited,ACCOUNTLEVEL,-25,3837,5969,9692
Sienna Gold Ltd,ACCOUNTLEVEL,-25,8774,5769,7653
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-25,3042,13980,2948
Murex N.A. Ltd,ACCOUNTLEVEL,-25,8213,6288,12023
Via Systems,ACCOUNTLEVEL,-25,8900,2004,11042
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-25,12293,14943,3289
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-25,7247,14715,9594
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-25,14300,2073,13350
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-25,1299,7006,4073
Anunay Fab Ltd,ACCOUNTLEVEL,-25,5406,12150,9129
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-25,13752,7665,10945
Jadow B & Sons Inc,ACCOUNTLEVEL,-25,3576,14013,2815
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-25,14595,3485,10313
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-25,5923,12573,14325
Alltech Automotive LLC,ACCOUNTLEVEL,-25,7405,10988,2927
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-25,4321,14145,12206
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-25,6263,9197,8784
ATTEBURY GRAIN,ACCOUNTLEVEL,-25,11031,8622,3403
Vicor,ACCOUNTLEVEL,-25,8604,11772,9617
Baja Inc,ACCOUNTLEVEL,-25,6981,14462,12537
National Assn of Printing Ink,ACCOUNTLEVEL,-25,3317,5816,4994
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-25,796,142,4979
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-25,14955,12283,13263
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-25,9639,8145,3040
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-25,7934,13003,3761
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-25,6098,1854,3219
Triumph Tool NC Inc,ACCOUNTLEVEL,-25,12718,12580,14296
Darta NV,ACCOUNTLEVEL,-25,7236,2457,818
COTY UK LTD,ACCOUNTLEVEL,-25,14959,11544,7105
Deal Partners Limited,ACCOUNTLEVEL,-25,6826,1980,4608
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-25,3856,9220,12209
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-25,12950,3692,4830
GKN Sinter Metals,ACCOUNTLEVEL,-25,10203,6848,1630
AGENCE PRESSE,ACCOUNTLEVEL,-25,6054,14103,9220
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-25,13374,12810,13821
AUREA SOFTWARE INC,ACCOUNTLEVEL,-25,2242,4293,1614
Ocean Sports Wear,ACCOUNTLEVEL,-25,3544,2291,14217
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-25,8902,13277,7415
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-25,12356,374,7439
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-25,11751,12621,6726
UNIFOODS SA DE CV,ACCOUNTLEVEL,-25,5645,3790,4907
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-25,13036,14680,14281
JARDINS DE NORTENE,ACCOUNTLEVEL,-25,10057,412,11284
Terry Store age spa,ACCOUNTLEVEL,-25,1413,12481,13805
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-25,1783,6116,6172
ST. CLAIR SERVICE,ACCOUNTLEVEL,-25,13051,7208,6452
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-25,6337,8682,6479
CARNES KM SA DE CV,ACCOUNTLEVEL,-25,9211,7516,13973
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-25,10691,13300,10286
COMNET SA DE CV,ACCOUNTLEVEL,-25,7266,8601,6061
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-25,14766,8291,11149
FRUITCORP SA DE CV,ACCOUNTLEVEL,-25,9938,8323,4971
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-25,11224,5329,474
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-25,9653,4445,9343
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-25,14949,1344,9194
K & S Contractors Supply Co,ACCOUNTLEVEL,-25,6265,10673,5903
Tioga Hardwoods Inc,ACCOUNTLEVEL,-25,10259,11151,11514
GHCL Limited,ACCOUNTLEVEL,-25,12954,8369,5761
Motion Industries Inc.,ACCOUNTLEVEL,-25,9239,13821,875
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-25,227,4183,7850
Quantum Foods,ACCOUNTLEVEL,-25,3907,9198,9246
Family Magazine,ACCOUNTLEVEL,-25,3018,13126,5958
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-25,11490,3963,8031
Innovative Laser Inc,ACCOUNTLEVEL,-25,10670,6521,10435
Addis Housewares Ltd,ACCOUNTLEVEL,-25,10283,7420,2880
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-25,2745,8499,13054
