AccountName,IsPrivate,Name,StageName,Amount,CloseDate,Type,Subscription_Start_Date__c,Subscription_End_Date__c,OTR__c,ASV__c,Users__c
TEAC Corp. of America,0,Opp1,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Ziff-Davis Labs,0,Opp2,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Purity-Supreme Inc.,0,Opp3,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
IBIS Systems Inc.,0,Opp4,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Galbreath Co,0,Opp5,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Back Stage Magazine,0,Opp6,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Cadbury Beverages Div Cadbury,0,Opp7,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Lafferty RF & Co Inc,0,Opp8,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
O-Cel-O Div General Mills Inc.,0,Opp9,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Fedder RP Corp,0,Opp10,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Ferrara Foods & Confections,0,Opp11,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Halcyon Assoc,0,Opp12,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Fell David H & Company Inc,0,Opp13,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Hardy James G & Co,0,Opp14,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
R-F Industries Inc,0,Opp15,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Raleigh Co.,0,Opp16,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Westend Dealers,0,Opp17,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Hambro International Venture F,0,Opp18,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
East Bay Brass Foundry,0,Opp19,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Baker & McKenzie,0,Opp20,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
AAR Corp Hardware Abscoa Division,0,Opp21,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
G-L Veneer Co Inc.,0,Opp22,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
OKeeffes Inc,0,Opp23,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
ICM Corp,0,Opp24,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Yesterday Productions Corp.,0,Opp25,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
G Group,0,Opp26,Value Proposition,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Quota Systems Inc.,0,Opp27,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Star Markets,0,Opp28,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
Saint Johns University Staten,0,Opp29,Closed Won,220000,2011-06-26,New Customer,2013-09-01,2013-09-30,10,20,30
